,Home Team,Home Score,Away Team,Away Score,HomeAway Bool
465,Tulane,47,Rice,49,1
466,Texas Tech,22,Texas,31,1
467,USC,51,Oregon,62,1
468,Arkansas,19,Tulsa,15,1
469,Auburn,42,New Mexico St,7,1
470,Buffalo,27,Miami OH,24,1
471,UCF,42,SMU,17,1
472,Ohio St,52,Illinois,22,1
473,Purdue,9,Penn St,34,1
474,Oregon St,36,Arizona St,26,1
475,UNLV,35,New Mexico,7,1
476,NC State,6,Virginia,33,1
477,North Texas,19,Arkansas St,37,1
478,ULM,24,Louisiana,40,1
479,N Illinois,63,Massachusetts,0,1
480,Maryland,13,Georgia Tech,33,1
481,Marshall,38,Memphis,28,1
482,Minnesota,13,Michigan,35,1
483,Michigan St,24,Nebraska,28,1
484,Mississippi St,13,Texas A&M,38,1
485,Louisville,45,Temple,17,1
486,LSU,17,Alabama,21,1
487,South Florida,13,Connecticut,6,1
488,Wake Forest,28,Boston College,14,1
489,Utah,49,Washington St,6,1
490,UCLA,66,Arizona,10,1
491,West Virginia,38,TCU,39,1
492,Iowa St,20,Oklahoma,35,1
493,Kansas St,44,Oklahoma St,30,1
494,Indiana,24,Iowa,21,1
495,South Alabama,20,Florida Intl,28,1
496,Georgia,37,Mississippi,10,1
497,Kentucky,0,Vanderbilt,40,1
498,Kent,35,Akron,24,1
499,Southern Miss,19,UAB,27,1
500,Tennessee,55,Troy,48,1
501,Army,41,Air Force,21,1
502,Utah St,38,Texas St,7,1
503,Navy,24,FL Atlantic,17,1
504,Notre Dame,29,Pittsburgh,26,1
505,Louisiana Tech,51,UT San Antonio,27,1
506,Boise St,19,San Diego St,21,1
507,Toledo,27,Ball St,34,1
508,Ohio,14,Bowling Green,26,1
509,Arkansas St,45,ULM,23,1
510,Virginia Tech,22,Florida St,28,1
511,Connecticut,24,Pittsburgh,17,1
512,Texas Tech,41,Kansas,34,1
513,Clemson,45,Maryland,10,1
514,Colorado St,33,UNLV,11,1
515,E Michigan,31,C Michigan,34,1
516,Florida,27,Louisiana,20,1
517,Boston College,6,Notre Dame,21,1
518,California,17,Oregon,59,1
519,Auburn,0,Georgia,38,1
520,UAB,38,Marshall,31,1
521,Buffalo,29,W Michigan,24,1
522,Arizona,56,Colorado,31,1
523,SMU,34,Southern Miss,6,1
524,Akron,14,Massachusetts,22,1
525,Alabama,24,Texas A&M,29,1
526,USC,38,Arizona St,17,1
527,South Carolina,38,Arkansas,20,1
528,Rutgers,28,Army,7,1
529,Oklahoma,42,Baylor,34,1
530,Oklahoma St,55,West Virginia,34,1
531,Nebraska,32,Penn St,23,1
532,New Mexico,23,Wyoming,28,1
533,NC State,37,Wake Forest,6,1
534,North Texas,24,South Alabama,14,1
535,North Carolina,50,Georgia Tech,68,1
536,LSU,37,Mississippi St,17,1
537,Mississippi,26,Vanderbilt,27,1
538,Memphis,37,Tulane,23,1
539,Miami OH,32,Kent,48,1
540,Michigan,38,Northwestern,31,1
541,Virginia,41,Miami FL,40,1
542,Washington,34,Utah,15,1
543,Washington St,36,UCLA,44,1
544,Troy,41,Navy,31,1
545,Illinois,3,Minnesota,17,1
546,Houston,7,Tulsa,41,1
547,TCU,10,Kansas St,23,1
548,UTEP,24,UCF,31,1
549,Indiana,14,Wisconsin,62,1
550,Iowa,24,Purdue,27,1
551,Temple,10,Cincinnati,34,1
552,Syracuse,45,Louisville,26,1
553,Texas,33,Iowa St,7,1
554,Tennessee,48,Missouri,51,1
555,Stanford,27,Oregon St,23,1
556,Texas St,55,Louisiana Tech,62,1
557,New Mexico,7,San Jose St,47,1
558,San Diego St,28,Air Force,9,1
559,WKU,28,FL Atlantic,37,1
560,Hawaii,14,Boise St,49,1
561,Nevada,36,Fresno St,52,1
562,Ball St,52,Ohio,27,1
563,N Illinois,31,Toledo,24,1
564,Virginia,13,North Carolina,37,1
565,FL Atlantic,24,Florida Intl,34,1
566,Air Force,21,Hawaii,7,1
567,Tulane,23,East Carolina,28,1
568,Tulsa,23,UCF,21,1
569,Colorado,3,Washington,38,1
570,Clemson,62,NC State,48,1
571,Cincinnati,3,Rutgers,10,1
572,C Michigan,30,Miami OH,16,1
573,Baylor,52,Kansas St,24,1
574,Bowling Green,24,Kent,31,1
575,Boston College,23,Virginia Tech,30,1
576,Wisconsin,14,Ohio St,21,1
577,UAB,9,Memphis,46,1
578,Rice,36,SMU,14,1
579,Arizona St,46,Washington St,7,1
580,LSU,41,Mississippi,35,1
581,Louisiana Tech,41,Utah St,48,1
582,Marshall,44,Houston,41,1
583,Michigan,42,Iowa,17,1
584,Miami FL,40,South Florida,9,1
585,Massachusetts,19,Buffalo,29,1
586,Maryland,14,Florida St,41,1
587,Mississippi St,45,Arkansas,14,1
588,Missouri,27,Syracuse,31,1
589,Michigan St,20,Northwestern,23,1
590,ULM,42,North Texas,16,1
591,New Mexico,24,Nevada,31,1
592,UNLV,23,Wyoming,28,1
593,Nebraska,38,Minnesota,14,1
594,Navy,21,Texas St,10,1
595,Oregon,14,Stanford,17,1
596,Oregon St,62,California,14,1
597,Penn St,45,Indiana,22,1
598,Oklahoma St,59,Texas Tech,21,1
599,UCLA,38,USC,28,1
600,Vanderbilt,41,Tennessee,18,1
601,Utah,24,Arizona,34,1
602,W Michigan,23,E Michigan,29,1
603,Troy,34,Arkansas St,41,1
604,Kansas,23,Iowa St,51,1
605,West Virginia,49,Oklahoma,50,1
606,Illinois,17,Purdue,20,1
607,Georgia Tech,42,Duke,24,1
608,South Alabama,12,MTSU,20,1
609,Louisiana,31,WKU,27,1
610,Southern Miss,33,UTEP,34,1
611,Georgia,45,Ga Southern,14,1
612,Army,32,Temple,63,1
613,Boise St,42,Colorado St,14,1
614,Notre Dame,38,Wake Forest,0,1
615,San Jose St,20,BYU,14,1
616,Toledo,35,Akron,23,1
617,Texas,13,TCU,20,1
618,Cincinnati,27,South Florida,10,1
619,Colorado,35,Utah,42,1
620,E Michigan,7,N Illinois,49,1
621,Bowling Green,21,Buffalo,7,0
622,Arizona,34,Arizona St,41,1
623,Arkansas,13,LSU,20,1
624,Massachusetts,21,C Michigan,42,1
625,Miami OH,24,Ball St,31,1
626,Iowa,7,Nebraska,13,1
627,Washington St,31,Washington,28,1
